TERM,TERM_REDUCED,PHRASE,DOCUMENT,FREQ
artifact,artifact,artifact,Mobile Manipulator Performance Measurement Data,2
test,test,test,Mobile Manipulator Performance Measurement Data,5
describe,describe,described,Mobile Manipulator Performance Measurement Data,2
tracking:0:system,system tracking,tracking system ,Mobile Manipulator Performance Measurement Data,2
tracking,tracking,tracking,Mobile Manipulator Performance Measurement Data,3
onboard:0:robot:1:arm,arm robot onboard,onboard robot arm,Mobile Manipulator Performance Measurement Data,2
optical:1:tracking:0:system,system tracking optical,optical tracking system ,Mobile Manipulator Performance Measurement Data,2
record,record,record,Mobile Manipulator Performance Measurement Data,5
link,link,link,Mobile Manipulator Performance Measurement Data,3
paper:0:describe,describe paper,described in the paper ,Mobile Manipulator Performance Measurement Data,3
paper,paper,paper,Mobile Manipulator Performance Measurement Data,4
measurement,measurement,measurements,Mobile Manipulator Performance Measurement Data,4
test:0:collect,test collect,collected during two tests,Mobile Manipulator Performance Measurement Data,2
computer:0:clock,clock computer,computer clocks ,Mobile Manipulator Performance Measurement Data,2
time:3:gps:2:global:1:positioning:0:system,positioning gps global time system,global positioning system (GPS) time,Mobile Manipulator Performance Measurement Data,2
gps,gps,GPS,Mobile Manipulator Performance Measurement Data,3
positioning:0:system,system positioning,positioning system ,Mobile Manipulator Performance Measurement Data,2
timestamp,timestamp,timestamp,Mobile Manipulator Performance Measurement Data,2
data:0:file,data file,data files ,Mobile Manipulator Performance Measurement Data,2
paper:0:information,information paper,information within the paper ,Mobile Manipulator Performance Measurement Data,2
mobile:0:manipulation:1:testing,mobile testing manipulation,mobile manipulation testing ,Mobile Manipulator Performance Measurement Data,2
robot:0:arm,arm robot,robot arm,Mobile Manipulator Performance Measurement Data,2
optical:0:tracking:1:system,system tracking optical,optical tracking system,Mobile Manipulator Performance Measurement Data,2
timestamp:0:gps,timestamp gps,GPS timestamp,Mobile Manipulator Performance Measurement Data,2
performance:0:measurement,performance measurement,performance measurement,Mobile Manipulator Performance Measurement Data,2
elastic:0:registration,elastic registration,elastic registration,Fast Dynamic Programming for Elastic Registration of Curves,3
registration,registration,registration,Fast Dynamic Programming for Elastic Registration of Curves,2
computation:0:perform,perform computation,perform this computation ,Fast Dynamic Programming for Elastic Registration of Curves,2
computation,computation,computation,Fast Dynamic Programming for Elastic Registration of Curves,2
adapt,adapt,adapting,Fast Dynamic Programming for Elastic Registration of Curves,2
strip,strip,strip,Fast Dynamic Programming for Elastic Registration of Curves,2
dynamic:0:programming:1:dp:2:base,dp dynamic base programming,based on DP (dynamic programming) ,Fast Dynamic Programming for Elastic Registration of Curves,2
dynamic:0:programming,dynamic programming,dynamic programming,Fast Dynamic Programming for Elastic Registration of Curves,4
programming,programming,programming,Fast Dynamic Programming for Elastic Registration of Curves,2
algorithm:1:adapt:0:dp,dp algorithm adapt,Algorithm adapt-DP ,Fast Dynamic Programming for Elastic Registration of Curves,2
adapt:0:dp,dp adapt,adapt-DP ,Fast Dynamic Programming for Elastic Registration of Curves,3
dp,dp,DP,Fast Dynamic Programming for Elastic Registration of Curves,6
readme:0:file:1:usage:0:instruction,instruction usage file readme,usage instructions in README files,Fast Dynamic Programming for Elastic Registration of Curves,2
file,file,file,Fast Dynamic Programming for Elastic Registration of Curves,9
data:0:file,data file,data files,Fast Dynamic Programming for Elastic Registration of Curves,2
python:2:compatible:1:fortran:0:file,fortran compatible python file,Python compatible Fortran file,Fast Dynamic Programming for Elastic Registration of Curves,3
compatible:1:fortran:0:file,fortran compatible file,compatible Fortran file,Fast Dynamic Programming for Elastic Registration of Curves,2
fortran:0:file,fortran file,Fortran files ,Fast Dynamic Programming for Elastic Registration of Curves,4
mex:0:file,mex file,mex file ,Fast Dynamic Programming for Elastic Registration of Curves,4
mex,mex,mex,Fast Dynamic Programming for Elastic Registration of Curves,2
zip:0:file,file zip,zip file ,Fast Dynamic Programming for Elastic Registration of Curves,3
shape:0:analysis,analysis shape,shape analysis,Fast Dynamic Programming for Elastic Registration of Curves,2
image,image,Image,Fast Dynamic Programming for Elastic Registration of Curves,2
kelp:0:extract,extract kelp,extract of kelp,An approach for identification and determination of arsenic,2
kelp,kelp,kelp,An approach for identification and determination of arsenic,3
arsenosugar,arsenosugar,arsenosugars,An approach for identification and determination of arsenic,2
determination:0:identification,determination identification,identification and determination ,An approach for identification and determination of arsenic,2
determination,determination,determination,An approach for identification and determination of arsenic,2
identification,identification,identification,An approach for identification and determination of arsenic,7
kelp:0:arsenosugar,kelp arsenosugar,kelp arsenosugar,An approach for identification and determination of arsenic,2
arsenic:0:specie,arsenic specie,arsenic species,An approach for identification and determination of arsenic,2
digestion:0:microwave,digestion microwave,microwave digestion,An approach for identification and determination of arsenic,2
food,food,Food,An approach for identification and determination of arsenic,2
cost,cost,costs,Manufacturing Cost Guide,8
manufacturing,manufacturing,Manufacturing,Manufacturing Cost Guide,15
research,research,research,Manufacturing Cost Guide,3
project,project,projects,Manufacturing Cost Guide,3
manufacturer:0:face,face manufacturer,US manufacturers face ,Manufacturing Cost Guide,2
manufacturer,manufacturer,manufacturers,Manufacturing Cost Guide,5
tool,tool,tool,Manufacturing Cost Guide,3
non:1:standardized:0:cost,non standardized cost,non-standardized costs,Manufacturing Cost Guide,2
standardized:0:cost,cost standardized,standardized costs,Manufacturing Cost Guide,2
system,system,systems,Manufacturing Cost Guide,2
organization,organization,organization,Manufacturing Cost Guide,4
redundant:1:engineering:0:labor:2:reduce,engineering reduce redundant labor,reduce redundant engineering labor,Manufacturing Cost Guide,2
engineering,engineering,engineering,Manufacturing Cost Guide,2
labor,labor,labor,Manufacturing Cost Guide,3
reduce,reduce,reduce,Manufacturing Cost Guide,4
research:0:conduct,research conduct,conducting research ,Manufacturing Cost Guide,2
question:0:answer,question answer,answer questions such as  ,Manufacturing Cost Guide,5
question,question,questions,Manufacturing Cost Guide,2
manufacturer:1:engineering:0:spend,spend manufacturer engineering,manufacturers spend on engineering,Manufacturing Cost Guide,5
spend,spend,spent,Manufacturing Cost Guide,4
material,material,material,Manufacturing Cost Guide,2
steel:0:use:1:reduce,reduce steel use,reduce the use of steel ,Manufacturing Cost Guide,2
steel:0:use,steel use,use of steel ,Manufacturing Cost Guide,2
steel,steel,steel,Manufacturing Cost Guide,2
researcher,researcher,researcher,Manufacturing Cost Guide,2
project:0:propose,project propose,proposing a project ,Manufacturing Cost Guide,2
propose,propose,proposing,Manufacturing Cost Guide,2
research:0:organization,research organization,research organization ,Manufacturing Cost Guide,2
energy:0:consumption:1:reduce,consumption energy reduce,reduce energy consumption ,Manufacturing Cost Guide,2
energy,energy,energy,Manufacturing Cost Guide,5
manufacturer:1:steel:0:spend,spend manufacturer steel,manufacturers spend on steel,Manufacturing Cost Guide,5
lighting,lighting,lighting,Manufacturing Cost Guide,2
manufacturer:1:lighting:0:spend,spend lighting manufacturer,manufacturers spend on lighting,Manufacturing Cost Guide,4
input:0:output,output input,input output,Manufacturing Cost Guide,2
economic,economic,economics,Manufacturing Cost Guide,2
labor:0:maintenance,maintenance labor,labor maintenance,Manufacturing Cost Guide,2
value:0:add,add value,value added,Manufacturing Cost Guide,2
supply:0:chain,chain supply,supply chain,Manufacturing Cost Guide,3
supply,supply,supply,Manufacturing Cost Guide,2
chain,chain,chain,Manufacturing Cost Guide,2
environmental:0:impact,impact environmental,environmental impact,Manufacturing Cost Guide,2
analysis:2:manufacturing:0:system:1:design:3:manufacturing,system manufacturing design analysis,Manufacturing Manufacturing systems design and analysis,Manufacturing Cost Guide,2
manufacturing:0:system:1:design,system manufacturing design,Manufacturing systems design ,Manufacturing Cost Guide,2
supply:0:chain:1:manufacturing,manufacturing chain supply,Manufacturing Supply chain,Manufacturing Cost Guide,2
lean:0:manufacturing,manufacturing lean,Lean manufacturing,Manufacturing Cost Guide,2
tool,tool,tool,Monte Carlo Tool,4
uncertainty:0:account,account uncertainty,account for uncertainty,Monte Carlo Tool,2
probabilistic:1:sensitivity:0:analysis:2:use,sensitivity analysis use probabilistic,uses probabilistic sensitivity analysis ,Monte Carlo Tool,2
analysis,analysis,analysis,Monte Carlo Tool,5
use,use,use,Monte Carlo Tool,2
monte:0:carlo:1:analysis,carlo analysis monte,Monte Carlo analysis,Monte Carlo Tool,5
astm:0:e1369:1:simulation:0:segment,simulation astm e1369 segment,simulation segment of ASTM E1369,Monte Carlo Tool,2
simulation,simulation,simulation,Monte Carlo Tool,6
technique,technique,technique,Monte Carlo Tool,2
model:0:sampling:1:method,method sampling model,method of model sampling,Monte Carlo Tool,2
involve,involve,involves,Monte Carlo Tool,2
variable,variable,variables,Monte Carlo Tool,5
simulate,simulate,simulated,Monte Carlo Tool,3
iteration:0:number,iteration number,number of iterations ,Monte Carlo Tool,4
iteration,iteration,iterations,Monte Carlo Tool,5
number,number,number,Monte Carlo Tool,5
distribution,distribution,distribution,Monte Carlo Tool,4
software,software,software,Monte Carlo Tool,2
interest:1:input:0:variable,variable interest input,input variable of interest,Monte Carlo Tool,2
probability,probability,probabilities,Monte Carlo Tool,3
common:0:distribution,distribution common,common distributions ,Monte Carlo Tool,3
